Entity Name,Address,City,Zip Code,Website
Star Buds,396 Kenmore Ave,Buffalo,14223,starbuds.us/new-york
Starlife Dispensary,1 Hall Ave,White Plains,10603,starlifedispensary.com
StashMaster NYC,1119 Broadway,Brooklyn,11221,stashmasternyc.com
State of Mind Dispensary,521 Troy Schenectady Rd,Latham,12110,itssom.com
Stoops NYC,182 5th Ave,New York,10010,stoopsnyc.com
Strain Stars LLC,1815 Broadhollow Rd,Farmingdale,11735,strainstarsny.com
Strain Stars Riverhead,1871 Old Country Rd,Riverhead,11901,strainstarsny.com
Strains for Life Powered by Indoor,3547 Broadway,New York,10031,strainsforlife.com
Strong Strains,19 Technology Dr,East Setauket,11733,strongstrains.com
Sunwalker Farms**,101 Eastern Blvd,Canandaigua,14424,sunwalkerfarms.com
Superfly,57 W 86th St,New York,10024,hellosuperfly.com
